pacote,classe,metodo,descritor,assinatura,linha,instr_cobertas,instr_perdidas,pct_instr,linhas_cobertas,linhas_perdidas,pct_linhas,ramos_cobertos,ramos_perdidos,pct_ramos,coberto,origem
us.codecraft.webmagic,us.codecraft.webmagic.Page,<init>,()V,<init>() -> void,33,13,0,100.00,4,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,<init>,(Lus/codecraft/webmagic/Request;Z)V,"<init>(us.codecraft.webmagic.Request, boolean) -> void",33,19,0,100.00,6,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,getBytes,()[B,getBytes() -> byte[],307,3,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,getCharset,()Ljava/lang/String;,getCharset() -> java.lang.String,315,3,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,getHtml,()Lus/codecraft/webmagic/selector/Html;,getHtml() -> us.codecraft.webmagic.selector.Html,143,16,0,100.00,3,0,100.00,1,1,50.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,getRawText,()Ljava/lang/String;,getRawText() -> java.lang.String,282,3,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,getRequest,()Lus/codecraft/webmagic/Request;,getRequest() -> us.codecraft.webmagic.Request,261,3,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,isDownloadSuccess,()Z,isDownloadSuccess() -> boolean,299,3,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,ofFailure,(Lus/codecraft/webmagic/Request;)Lus/codecraft/webmagic/Page;,ofFailure(us.codecraft.webmagic.Request) -> us.codecraft.webmagic.Page,74,6,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,ofSuccess,(Lus/codecraft/webmagic/Request;)Lus/codecraft/webmagic/Page;,ofSuccess(us.codecraft.webmagic.Request) -> us.codecraft.webmagic.Page,63,6,0,100.00,1,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setBytes,([B)V,setBytes(byte[]) -> void,311,4,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setCharset,(Ljava/lang/String;)V,setCharset(java.lang.String) -> void,319,4,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setHeaders,(Ljava/util/Map;)V,setHeaders(java.util.Map) -> void,295,4,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setRawText,(Ljava/lang/String;)Lus/codecraft/webmagic/Page;,setRawText(java.lang.String) -> us.codecraft.webmagic.Page,286,5,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setRequest,(Lus/codecraft/webmagic/Request;)V,setRequest(us.codecraft.webmagic.Request) -> void,265,9,0,100.00,3,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setStatusCode,(I)V,setStatusCode(int) -> void,278,4,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Page,setUrl,(Lus/codecraft/webmagic/selector/Selectable;)V,setUrl(us.codecraft.webmagic.selector.Selectable) -> void,252,4,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Request,<init>,()V,<init>() -> void,39,21,0,100.00,6,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Request,<init>,(Ljava/lang/String;)V,<init>(java.lang.String) -> void,39,24,0,100.00,7,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Request,addCookie,(Ljava/lang/String;Ljava/lang/String;)Lus/codecraft/webmagic/Request;,"addCookie(java.lang.String, java.lang.String) -> us.codecraft.webmagic.Request",153,8,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Request,addHeader,(Ljava/lang/String;Ljava/lang/String;)Lus/codecraft/webmagic/Request;,"addHeader(java.lang.String, java.lang.String) -> us.codecraft.webmagic.Request",158,8,0,100.00,2,0,100.00,0,0,0.00,sim,desconhecido
us.codecraft.webmagic,us.codecraft.webmagic.Request,equals,(Ljava/lang/Object;)Z,equals(java.lang.Object) -> boolean,143,37,11,77.08,5,0,100.00,8,8,50.00,sim,desconhecido
